"date","datatype","station","attributes","value"
"2020-03-04T00:00:00","PRCP","GHCND:ASN00085279",",,a,",0
"2020-03-04T00:00:00","TMAX","GHCND:ASN00085279",",,a,",19.6
"2020-03-04T00:00:00","TMIN","GHCND:ASN00085279",",,a,",10
"2020-03-05T00:00:00","PRCP","GHCND:ASN00085279",",,a,",7.8
"2020-03-05T00:00:00","TMAX","GHCND:ASN00085279",",,a,",24
"2020-03-05T00:00:00","TMIN","GHCND:ASN00085279",",,a,",13.4
"2020-03-06T00:00:00","PRCP","GHCND:ASN00085279",",,a,",10.6
"2020-03-06T00:00:00","TMAX","GHCND:ASN00085279",",,a,",19.5
"2020-03-06T00:00:00","TMIN","GHCND:ASN00085279",",,a,",14.8
"2020-03-07T00:00:00","PRCP","GHCND:ASN00085279",",,a,",0
"2020-03-07T00:00:00","TMAX","GHCND:ASN00085279",",,a,",19.3
"2020-03-07T00:00:00","TMIN","GHCND:ASN00085279",",,a,",13.3
"2020-03-08T00:00:00","PRCP","GHCND:ASN00085279",",,a,",3.8
"2020-03-08T00:00:00","TMAX","GHCND:ASN00085279",",,a,",18.6
"2020-03-08T00:00:00","TMIN","GHCND:ASN00085279",",,a,",14
"2020-03-09T00:00:00","PRCP","GHCND:ASN00085279",",,a,",0.2
"2020-03-09T00:00:00","TMAX","GHCND:ASN00085279",",,a,",19.1
"2020-03-09T00:00:00","TMIN","GHCND:ASN00085279",",,a,",13.5
"2020-03-10T00:00:00","PRCP","GHCND:ASN00085279",",,a,",0
"2020-03-10T00:00:00","TMAX","GHCND:ASN00085279",",,a,",20.8
"2020-03-10T00:00:00","TMIN","GHCND:ASN00085279",",,a,",12.2
"2020-03-11T00:00:00","PRCP","GHCND:ASN00085279",",,a,",0
"2020-03-11T00:00:00","TMAX","GHCND:ASN00085279",",,a,",25.3
"2020-03-11T00:00:00","TMIN","GHCND:ASN00085279",",,a,",9.5
"2020-03-12T00:00:00","PRCP","GHCND:ASN00085279",",,a,",0
"2020-03-12T00:00:00","TMAX","GHCND:ASN00085279",",,a,",29.6
"2020-03-12T00:00:00","TMIN","GHCND:ASN00085279",",,a,",10.7
"2020-03-13T00:00:00","PRCP","GHCND:ASN00085279",",,a,",0
"2020-03-13T00:00:00","TMAX","GHCND:ASN00085279",",,a,",29.3
"2020-03-13T00:00:00","TMIN","GHCND:ASN00085279",",,a,",13.2
"2020-03-14T00:00:00","PRCP","GHCND:ASN00085279",",,a,",6.6
"2020-03-14T00:00:00","TMAX","GHCND:ASN00085279",",,a,",16.6
"2020-03-14T00:00:00","TMIN","GHCND:ASN00085279",",,a,",10.2
"2020-03-15T00:00:00","PRCP","GHCND:ASN00085279",",,a,",0.2
"2020-03-15T00:00:00","TMAX","GHCND:ASN00085279",",,a,",19.3
"2020-03-15T00:00:00","TMIN","GHCND:ASN00085279",",,a,",5.3
"2020-03-16T00:00:00","PRCP","GHCND:ASN00085279",",,a,",0
"2020-03-16T00:00:00","TMAX","GHCND:ASN00085279",",,a,",21
"2020-03-16T00:00:00","TMIN","GHCND:ASN00085279",",,a,",6.9
